"","album_num_tracks","weeks_on_chart","streams","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","days_since_release","rank"
"330",17,5,1450262,0.808,0.97,10,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293,5604,194
"331",15,30,1440162,0.819,0.626,10,-4.574,0.202,0.00748,0.101,0.167,0.415,143.01,195906,216,197
"332",19,44,1438147,0.48,0.602,10,-6.335,0.368,0.487,0,0.0848,0.269,179.798,213333,307,198
"333",16,72,1432925,0.703,0.757,1,-3.612,0.05,0.617,0,0.106,0.696,82.008,221747,1350,200
"334",16,1,8998266,0.463,0.642,1,-4.474,0.34,0.314,0,0.0686,0.339,83.389,189893,6,3
"335",16,1,6336743,0.773,0.707,11,-5.71,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,236187,6,5
"336",16,1,4629227,0.652,0.578,0,-6.187,0.161,0.00861,0,0.285,0.195,87.395,207213,6,10
"337",15,41,4320094,0.741,0.691,10,-7.395,0.0672,0.0221,0,0.0476,0.892,150.087,212353,230,11
"338",29,43,4183161,0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,141806,286,12
"339",1,1,4029480,0.81,0.655,8,-6.779,0.0698,0.127,8.16e-05,0.105,0.809,150.002,193322,6,13
"340",16,1,3870290,0.824,0.667,10,-6.603,0.0814,0.00321,2.65e-06,0.0956,0.305,82.037,207933,6,18
"341",14,27,3701053,0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011,173381,244,21
"342",21,35,3399117,0.849,0.424,5,-9.579,0.324,0.0635,0,0.0834,0.153,145.887,242966,244,27
"343",1,12,3342976,0.843,0.7,4,-3.563,0.0803,0.0934,0,0.14,0.899,93.991,226088,84,30
"344",16,1,3257667,0.862,0.619,11,-6.197,0.221,0.0403,0,0.253,0.624,148.059,195267,6,31
"345",12,9,3235023,0.756,0.697,8,-6.377,0.0401,0.182,0,0.333,0.956,94.996,206071,28,33
